# postcode distance_miles
EH23 285.607793971 
EH24 287.886388091 
EH25 289.113290113 
EH26 288.566078369 
EH27 295.892890822 
EH28 297.623840739 
EH29 299.348986939 
EH3 295.375027284 
EH30 300.782386213 
EH31 293.775597222 
EH32 291.60339231 
EH33 289.933736133 
EH34 286.76633413 
EH35 287.99476922 
EH36 282.988866849 
EH37 285.321377259 
EH38 280.689728063 
EH39 292.799507824 
EH4 296.962196289 
EH40 287.981288317 
EH41 287.339776941 
EH42 286.157370254 
EH43 271.866985321 
EH44 272.713060817 
EH45 277.320651504 
EH46 285.404671753 
EH47 299.137434602 
EH48 301.535951032 
EH49 304.541987155 
EH5 296.946165082 
EH51 306.742402216 
EH52 299.961843223 
EH53 297.224270853 
EH54 298.069653884 
EH55 296.515795806 
EH6 295.913043032 
EH7 295.138587352 
EH8 294.374468974 
EH9 293.822751521 
EN1 37.7790763038 
EN10 31.4503681606 
EN11 29.6347655959 
EN2 37.7088109933 
EN3 37.0492585038 
EN4 39.4528809846 
EN5 39.9813838689 
EN6 36.4994561014 
EN7 34.0106448651 
EN8 34.3824890401 
EN9 34.0951223038 
EX1 188.437075803 
EX10 180.361485121 
EX11 179.781837731 
EX12 174.037952893 
EX13 168.137822299 
EX14 173.58427787 
EX15 176.637320225 
EX16 180.733431462 
EX17 192.578652314 
EX18 196.591736866 
EX19 201.885270855 
EX2 189.488454955 
EX20 206.726086594 
EX21 212.105780902 
EX22 217.532787631 
EX23 224.144583901 
EX24 172.922331469 
EX3 188.277235819 
EX31 197.893520655 
EX32 196.493837433 
EX33 201.309100609 
EX34 196.414326992 
EX35 184.70119591 
EX36 189.24884126 
EX37 196.596301069 
EX38 205.52499957 
EX39 207.168960918 
EX4 189.053239773 
EX5 184.840389903 
EX6 193.676192881 
EX7 192.572347476 
EX8 188.50707035 
EX9 185.330366349 
FK1 309.138889873 
FK10 316.454022604 
FK11 319.926359787 
FK12 319.011537514 
FK13 317.727421641 
FK14 317.003311318 
FK15 325.074525992 
FK16 326.70118642 
FK17 332.956486004 
FK18 340.178754295 
FK19 342.487865196 
FK2 309.475338674 
FK20 351.424539836 
FK21 348.083848016 
FK3 309.092509416 
FK4 312.252873134 
FK5 311.985670484 
FK6 313.883765129 
FK7 318.252114689 
FK8 323.077877138 
FK9 321.344036087 
FY1 176.244787234 
FY2 177.328088974 
FY3 175.708774415 
FY4 174.633608966 
FY5 178.040553453 
FY6 176.522637382 
FY7 180.074841447 
FY8 172.085387155 
G1 312.235926163 
G11 314.539172563 
G12 314.585323478 
G13 316.465464958 
G14 315.800369535 
G15 317.769460248 
G2 312.644497788 
G20 314.49177467 
G21 312.764355958 
G22 313.985941308 
G23 315.421170606 
G3 313.15480785 
G31 311.156042602 
G32 309.66360534 
G33 311.042821637 
G34 309.518762206 
G4 312.794553247 
G40 310.986804475 
G41 311.852760748 
G42 310.962170873 
G43 310.94775378 
G44 309.895595812 
G45 308.832252351 
G46 310.589824848 
G5 311.692561015 
G51 313.708899636 
G52 313.972149043 
G53 312.626980957 
G60 320.520009887 
G61 317.438270595 
G62 318.527709813 
G63 325.035194797 
G64 314.358690828 
G65 314.200155051 
G66 314.561974719 
G67 311.125510522 
G68 312.020682568 
G69 309.647383603 
G71 306.077776205 
G72 306.353646356 
G73 309.066551237 
G74 305.480309845 
G76 308.332480329 
G77 309.512446159 
G78 312.459780511 
G81 318.907130602 
G82 325.059703936 
G83 328.580229355 
G84 332.779489975 
GL1 105.887715578 
GL10 109.82440497 
GL11 113.895772227 
GL12 116.525050304 
GL13 118.024196687 
GL14 116.572782225 
GL15 120.964557246 
GL16 122.428707846 
GL17 117.445973941 
GL18 112.156300028 
GL19 106.739121218 
GL2 107.274160593 
GL20 99.5243195889 
GL3 103.223637251 
GL4 105.214204857 
GL5 107.258824756 
GL50 98.6478937061 
GL51 99.7918027119 
GL52 97.5011341546 
GL53 98.3880187985 
GL54 89.6779468114 
GL55 83.7117908216 
GL56 81.7157224163 
GL6 106.215679703 
GL7 94.7391592503 
GL8 107.49129001 
GL9 114.759724462 
GU1 72.1749769661 
GU10 79.8494132377 
GU11 76.0532371373 
GU12 75.1921050291 
GU13 76.3729939591 
GU14 73.4368562606 
GU15 70.5501825144 
GU16 71.6361190338 
GU17 71.9659880529 
GU18 68.0441240443 
GU19 67.8772470969 
GU2 72.599498731 
GU20 66.6110594303 
